collection,noise,rho,T,N_unlab,eps,act_t_map,act_ppi_map,ratio_map,act_t_sim,act_ppi_crossfit,ratio_crossfit,act_ppi_oracle,ratio_oracle,act_ppi_oracle_noclip,ratio_oracle_noclip,act_ppi_finiteN,ratio_finiteN
dbpedia-entity,0.3,0.5703084052138765,90,50,0.05,0.9533333333333334,0.9033333333333332,0.9475524475524476,0.97,0.92,0.9484536082474228,0.941,0.960204081632653,0.956,0.9765066394279878,0.984,1.0144329896907216
dbpedia-entity,0.3,0.5703084052138765,90,100,0.005,0.3233333333333333,0.33,1.0206185567010309,0.174,0.184,0.9633507853403142,0.197,1.0883977900552486,0.2,1.1049723756906078,0.202,1.1609195402298853
dbpedia-entity,0.3,0.5703084052138765,90,100,0.01,0.3466666666666667,0.4033333333333333,1.1634615384615383,0.256,0.3,1.1278195488721803,0.298,1.2680851063829788,0.308,1.2571428571428571,0.299,1.16796875
dbpedia-entity,0.3,0.5703084052138765,90,100,0.02,0.6133333333333333,0.63,1.0271739130434785,0.492,0.52,1.1353711790393013,0.542,1.1106557377049182,0.551,1.1384297520661157,0.557,1.1321138211382116
dbpedia-entity,0.3,0.5703084052138765,90,100,0.05,0.92,0.9066666666666666,0.9855072463768116,0.979,0.95,0.9733606557377049,0.975,0.9969325153374233,0.966,0.9948506694129763,0.981,1.0020429009193055
dbpedia-entity,0.3,0.5703084052138765,90,200,0.005,0.2733333333333333,0.37,1.353658536585366,0.18,0.208,1.2606060606060605,0.224,1.2307692307692308,0.227,1.2897727272727273,0.211,1.1722222222222223
dbpedia-entity,0.3,0.5703084052138765,90,200,0.01,0.3566666666666667,0.4433333333333333,1.2429906542056075,0.261,0.319,1.2412451361867705,0.309,1.2165354330708662,0.304,1.3103448275862069,0.322,1.2337164750957854
dbpedia-entity,0.3,0.5703084052138765,90,200,0.02,0.53,0.6433333333333333,1.2138364779874211,0.472,0.505,1.145124716553288,0.574,1.2212765957446807,0.608,1.2015810276679841,0.565,1.1970338983050848
dbpedia-entity,0.3,0.5703084052138765,90,200,0.05,0.9433333333333334,0.9233333333333332,0.978798586572438,0.967,0.969,0.9918116683725691,0.979,1.007201646090535,0.985,1.0051020408163265,0.97,1.0031023784901758
dbpedia-entity,0.3,0.5703084052138765,90,300,0.005,0.2733333333333333,0.3866666666666666,1.4146341463414631,0.174,0.189,1.1962025316455696,0.213,1.1451612903225805,0.229,1.2937853107344635,0.214,1.2298850574712645
dbpedia-entity,0.3,0.5703084052138765,90,300,0.01,0.3633333333333333,0.4433333333333333,1.220183486238532,0.253,0.324,1.1955719557195572,0.327,1.4279475982532752,0.338,1.4024896265560167,0.319,1.2608695652173914
dbpedia-entity,0.3,0.5703084052138765,90,300,0.02,0.5466666666666666,0.6066666666666667,1.1097560975609757,0.472,0.569,1.1267326732673266,0.583,1.180161943319838,0.586,1.1886409736308317,0.563,1.1927966101694916
dbpedia-entity,0.3,0.5703084052138765,90,300,0.05,0.9066666666666666,0.91,1.0036764705882353,0.977,0.983,1.0102774922918807,0.98,1.0103092783505154,0.981,1.0092592592592593,0.979,1.0020470829068577
dbpedia-entity,0.6,0.3940877704578209,60,50,0.005,0.1266666666666666,0.1366666666666666,1.0789473684210529,0.085,0.105,0.813953488372093,0.12,1.0084033613445378,0.104,1.1555555555555554,0.102,1.1999999999999997
dbpedia-entity,0.6,0.3940877704578209,60,50,0.01,0.24,0.2133333333333333,0.8888888888888888,0.181,0.155,0.8959537572254336,0.166,1.064102564102564,0.15,1.0344827586206897,0.189,1.0441988950276244
dbpedia-entity,0.6,0.3940877704578209,60,50,0.02,0.3566666666666667,0.3566666666666667,1.0,0.297,0.293,0.960655737704918,0.313,1.075601374570447,0.311,1.0761245674740485,0.309,1.0404040404040404
