collection,judge,eps,method,pilot,J50_ref,J50,post_pilot_share,var_ratio,cost_ratio,saving_pred,saving_obs
dbpedia-entity,llm,0.01,weighted_cv,1028.4747005208333,3580.780196078431,2959.497828282828,0.7127791586740818,0.7367159742150687,0.756579935718129,0.18766336639130857,0.17350474862322296
dbpedia-entity,llm,0.01,weighted_cvl,1028.4747005208333,3580.780196078431,3237.470641025641,0.7127791586740818,0.704232798573991,0.8654904141959747,0.21081669699581837,0.09587562940299243
dbpedia-entity,llm,0.02,active_cv,1028.7592838541668,2542.8431481481484,3214.2426126126124,0.5954295157358127,1.9032057420129744,1.443436113611539,-0.5377953575765908,-0.2640349503874895
dbpedia-entity,llm,0.02,active_judge,1028.7592838541668,2542.8431481481484,4249.9769230769225,0.5954295157358127,3.1664985195896995,2.127502785801638,-1.28999716436165,-0.6713484377406493
dbpedia-entity,llm,0.02,ai_calib,1028.7592838541668,2542.8431481481484,2520.00688172043,0.5954295157358127,1.115496842349656,0.9849174362356956,-0.06877022890927122,0.008980603638234275
dbpedia-entity,llm,0.02,ai_resid,1028.7592838541668,2542.8431481481484,2073.2935294117647,0.5954295157358127,0.741118798585827,0.6898787248120268,0.15414550839114644,0.18465536070454758
dbpedia-entity,llm,0.02,ai_robust_0.3,1028.7592838541668,2542.8431481481484,2010.5896527777777,0.5954295157358127,0.7289879213113806,0.6484649840591485,0.16136859077212062,0.2093143243058424
dbpedia-entity,llm,0.02,ai_robust_0.5,1028.7592838541668,2542.8431481481484,2059.8948717948715,0.5954295157358127,0.7223438074949726,0.6810293750944396,0.16532469224431803,0.18992452472146737
dbpedia-entity,llm,0.02,strat_pilot,1028.7592838541668,2542.8431481481484,2482.462222222222,0.5954295157358127,1.0137144489311398,0.9601204878079312,-0.008165987685652118,0.02374543863230394
dbpedia-entity,llm,0.02,uniform,1028.7592838541668,2542.8431481481484,5563.3983333333335,0.5954295157358127,2.6843468112972446,2.99497217850193,-1.0029098061818786,-1.1878653181518235
dbpedia-entity,llm,0.02,uniform_nz,1028.7592838541668,2542.8431481481484,3372.0015646258503,0.5954295157358127,1.4462255939074282,1.5476304424288538,-0.2656958892892254,-0.3260753291376013
dbpedia-entity,llm,0.02,weighted_cv,1028.7592838541668,2542.8431481481484,2083.621923076923,0.5954295157358127,0.7273839209828389,0.6967002714308955,0.1623236599109843,0.18059361050470535
dbpedia-entity,llm,0.02,weighted_cvl,1028.7592838541668,2542.8431481481484,2046.1351515151514,0.5954295157358127,0.7029370874569082,0.6719415559820312,0.17688002615860324,0.19533568045466343
dbpedia-entity,rr,0.01,active_cv,1028.4747005208333,3580.780196078431,4332.303333333333,0.7127791586740818,1.1862735465529441,1.294448739997215,-0.13277190179524495,-0.2098769251678585
dbpedia-entity,rr,0.01,active_judge,1028.4747005208333,3580.780196078431,6434.98375,0.7127791586740818,2.18654769121418,2.1182844525819653,-0.8457464650703176,-0.7970898512696794
