collection,eps,n_train,fixed_cand,method,feasible_frac,slack_med,slack_q25,act_feasible_max,act_max,wrong_max,docs_pilot,J50_total,J50_sampling,budgets
dbpedia-entity,0.02,20,best,static_sum,1.0,0.019999999999999997,0.019999999999999997,0.9866666666666668,0.9866666666666668,0.0,1027.9933333333333,1784.1866666666667,756.1933333333334,10
dbpedia-entity,0.02,10,pilot,oracle_exact,0.8733333333333333,0.019999999999999997,0.019999999999999997,0.916030534351145,0.8,0.0,509.6166666666667,1724.177638888889,1214.5609722222223,10
dbpedia-entity,0.02,20,pilot,oracle_exact,0.9166666666666666,0.019999999999999997,0.019999999999999997,0.8909090909090909,0.8166666666666667,0.0,1031.4566666666667,2183.0693103448275,1151.6126436781608,10
dbpedia-entity,0.02,40,pilot,oracle_exact,0.9633333333333333,0.019999999999999997,0.019999999999999997,0.9273356401384084,0.8933333333333333,0.0,2053.02,2770.31,717.29,10
dbpedia-entity,0.02,80,pilot,oracle_exact,0.9966666666666667,0.019999999999999997,0.019999999999999997,0.9464882943143812,0.9433333333333334,0.0,4112.2666666666655,4957.274090909091,845.0074242424246,10
dbpedia-entity,0.02,10,pilot,per_pair,0.8733333333333333,0.019999999999999997,0.019999999999999997,0.5916030534351145,0.5166666666666667,0.0,509.6166666666667,5007.270714285713,4497.654047619047,10
dbpedia-entity,0.02,20,pilot,per_pair,0.9166666666666666,0.019999999999999997,0.019999999999999997,0.5818181818181818,0.5333333333333333,0.0,1031.4566666666667,5308.297142857143,4276.840476190476,10
dbpedia-entity,0.02,40,pilot,per_pair,0.9633333333333333,0.019999999999999997,0.019999999999999997,0.6262975778546713,0.6033333333333334,0.0,2053.02,4896.952820512821,2843.9328205128213,10
dbpedia-entity,0.02,80,pilot,per_pair,0.9966666666666667,0.019999999999999997,0.019999999999999997,0.6488294314381271,0.6466666666666666,0.0,4112.2666666666655,6272.524444444445,2160.2577777777788,10
dbpedia-entity,0.02,10,pilot,plugin_exact,0.8733333333333333,0.019999999999999997,0.019999999999999997,0.8664122137404581,0.7566666666666667,0.0,509.6166666666667,1772.5433333333333,1262.9266666666667,10
dbpedia-entity,0.02,20,pilot,plugin_exact,0.9166666666666666,0.019999999999999997,0.019999999999999997,0.8581818181818182,0.7866666666666666,0.0,1031.4566666666667,2465.2947435897436,1433.8380769230769,10
dbpedia-entity,0.02,40,pilot,plugin_exact,0.9633333333333333,0.019999999999999997,0.019999999999999997,0.9204152249134948,0.8866666666666667,0.0,2053.02,2920.422583333333,867.4025833333335,10
dbpedia-entity,0.02,80,pilot,plugin_exact,0.9966666666666667,0.019999999999999997,0.019999999999999997,0.9531772575250836,0.95,0.0,4112.2666666666655,4917.906666666667,805.6400000000003,10
dbpedia-entity,0.02,10,pilot,static_sum,0.8733333333333333,0.019999999999999997,0.019999999999999997,0.8778625954198473,0.7666666666666667,0.0,509.6166666666667,1605.054938271605,1095.438271604938,10
dbpedia-entity,0.02,20,pilot,static_sum,0.9166666666666666,0.019999999999999997,0.019999999999999997,0.8545454545454545,0.7833333333333333,0.0,1031.4566666666667,2186.4544444444446,1154.997777777778,10
