collection,judge,budget_full_eq,eps,method,draw,pilot,v_pilot,v_pilot_ref,slack_pilot,n_queries,cand
webis-touche2020,rr,2,0.01,active_judge,4,761,0.12518929720852734,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,strat_pilot,4,761,0.04562869131988473,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,weighted_cv,4,761,0.03393283714992156,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,active_cv,4,761,0.06991260770329488,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,weighted_cvl,4,761,0.03179789521370966,0.044385715278796714,0.02385195858493073,49,0
webis-touche2020,rr,2,0.01,uniform,5,757,0.16361309238490113,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,uniform_nz,5,757,0.07401357107261368,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,weighted,5,757,0.0513227110108764,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,active_judge,5,757,0.15214514282677266,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,strat_pilot,5,757,0.05219474407434068,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,weighted_cv,5,757,0.03964182682173535,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,active_cv,5,757,0.07444002941475648,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,weighted_cvl,5,757,0.03586705557281383,0.0513227110108764,0.018003940503940503,49,0
webis-touche2020,rr,2,0.01,uniform,6,756,0.18092532973017286,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,uniform_nz,6,756,0.12471654201145302,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,weighted,6,756,0.08801692763768365,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,active_judge,6,756,0.23272396308533022,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,strat_pilot,6,756,0.09021349154964424,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,weighted_cv,6,756,0.07079371274774993,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,active_cv,6,756,0.1245989393098041,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,6,756,0.06563426947672905,0.08801692763768365,0.08822084320293534,49,2
webis-touche2020,rr,2,0.01,uniform,7,774,0.11215945275361743,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,uniform_nz,7,774,0.0813265574549436,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,weighted,7,774,0.07351783372206613,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,active_judge,7,774,0.16895622131123522,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,strat_pilot,7,774,0.07438314765500001,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,weighted_cv,7,774,0.06335690747345536,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,active_cv,7,774,0.12658442849760618,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,7,774,0.05692685360028765,0.07351783372206613,0.068729928395887,49,2
webis-touche2020,rr,2,0.01,uniform,8,762,0.15913974281186735,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,uniform_nz,8,762,0.08055009946635297,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,weighted,8,762,0.05584058668237475,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,active_judge,8,762,0.14390490651344162,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,strat_pilot,8,762,0.056426601824311896,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,weighted_cv,8,762,0.044339584519911004,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,active_cv,8,762,0.08108455104270591,0.05584058668237475,0.06949215458890382,49,2
webis-touche2020,rr,2,0.01,weighted_cvl,8,762,0.04075118729532656,0.05584058668237475,0.06949215458890382,49,2
